L,A,B
96,186,179
98,187,180
99,187,180
98,187,181
98,187,181
98,187,181
98,187,181
98,187,181
98,187,181
98,187,181
98,187,180
98,187,180
97,187,179
97,187,179
97,187,179
97,187,179
97,187,179
98,187,180
97,187,179
97,187,179
97,187,179
97,187,179
97,187,180
98,187,181
98,187,181
98,187,181
98,187,181
98,187,180
98,187,180
98,187,180
98,187,180
98,187,180
98,187,180
98,187,180
97,187,179
97,187,179
97,187,179
98,187,180
98,187,180
98,187,180
98,187,181
98,187,181
98,187,181
98,187,181
98,187,180
98,187,180
98,187,180
98,187,180
98,187,180
98,187,180
98,187,180
98,187,180
99,187,180
99,187,180
99,187,180
98,187,181
98,187,181
99,187,180
99,187,180
99,187,180
99,187,180
99,188,180
99,188,180
99,188,180
99,188,180
99,188,180
99,188,180
99,188,180
99,188,180
100,188,180
100,188,180
100,188,180
99,188,180
99,188,180
99,188,180
99,188,180
99,188,180
99,188,180
99,188,180
99,188,180
99,188,180
99,188,180
99,188,180
100,188,181
100,188,181
100,188,181
100,188,181
100,188,181
100,188,181
100,188,181
100,188,181
101,189,181
101,189,181
101,189,181
101,189,181
101,189,181
101,189,181
101,189,181
101,189,181
101,189,181
101,189,181
102,189,181
101,188,181
101,188,181
101,188,181
100,188,180
100,188,180
100,188,180
100,188,180
100,188,180
100,188,180
100,188,180
100,188,180
100,188,180
100,188,180
100,188,181
101,189,181
101,189,181
100,188,181
100,188,181
100,188,181
100,188,180
99,188,180
99,188,180
99,188,180
99,188,180
99,188,180
99,187,180
99,187,180
97,187,179
97,187,179
97,187,179
97,187,179
97,187,179
97,187,179
96,186,179
98,187,180
98,187,180
99,187,180
98,187,181
98,187,181
98,187,181
98,187,181
98,187,181
98,187,181
98,187,181
98,187,180
98,187,180
97,187,179
97,187,179
97,187,179
97,187,179
97,187,179
97,187,179
97,187,179
97,187,179
97,187,179
97,187,179
97,187,180
98,187,181
98,187,181
98,187,181
98,187,181
98,187,180
98,187,180
98,187,180
98,187,180
98,187,180
98,187,180
98,187,180
97,187,179
97,187,179
97,187,179
97,187,179
97,187,179
98,187,180
98,187,180
98,187,181
98,187,181
98,187,181
98,187,180
98,187,180
98,187,180
98,187,180
98,187,180
98,187,180
99,187,180
99,187,180
99,187,180
99,187,180
99,187,180
98,187,181
99,187,180
99,187,180
99,187,180
99,187,180
99,187,180
99,188,180
99,188,180
99,188,180
99,188,180
99,188,180
99,188,180
99,188,180
100,188,181
100,188,181
100,188,180
100,188,180
99,188,180
99,188,180
99,188,180
99,188,180
99,188,180
99,188,180
99,188,180
99,188,180
99,188,180
100,188,180
100,188,181
100,188,181
100,188,181
100,188,181
100,188,181
100,188,181
100,188,181
100,188,181
100,188,181
100,188,181
101,189,181
101,189,181
101,189,181
101,189,181
101,189,181
101,189,181
101,189,181
101,189,181
101,189,181
102,189,181
102,189,181
101,188,181
101,188,181
100,188,180
100,188,180
100,188,180
100,188,180
100,188,180
100,188,180
100,188,180
100,188,181
100,188,181
100,188,181
101,189,181
101,189,181
101,189,181
101,189,181
100,188,181
100,188,181
100,188,181
99,188,180
99,188,180
99,188,180
99,188,180
99,188,180
99,188,180
99,187,180
98,187,180
97,187,179
97,187,179
97,187,179
97,187,179
97,187,179
96,186,179
96,186,179
98,187,180
98,187,180
98,187,180
99,187,180
98,187,180
98,187,181
98,187,181
98,187,181
98,187,181
98,187,181
98,187,180
98,187,180
97,187,179
97,187,179
97,187,179
97,187,179
97,187,179
97,187,179
97,187,179
97,187,179
97,187,179
97,187,179
98,187,180
98,187,180
98,187,180
98,187,181
98,187,181
98,187,181
98,187,180
98,187,180
98,187,180
98,187,180
98,187,180
98,187,180
98,187,180
97,187,179
97,187,179
97,187,179
97,187,179
97,187,179
97,187,179
98,187,180
98,187,181
98,187,181
98,187,181
98,187,181
98,187,180
98,187,180
99,188,180
99,188,180
99,188,180
99,187,180
99,187,180
99,187,180
99,187,180
99,187,180
99,187,180
99,187,180
99,187,180
99,188,180
99,188,180
99,188,180
99,188,180
99,188,180
99,188,180
99,188,180
99,188,180
99,188,180
100,188,181
100,188,181
100,188,181
100,188,180
100,188,180
99,188,180
99,188,180
99,188,180
99,188,180
99,188,180
99,188,180
99,188,180
100,188,180
100,188,181
100,188,181
100,188,181
101,189,181
101,189,181
101,189,181
101,189,181
100,188,181
100,188,181
100,188,181
100,188,181
100,188,181
100,188,181
101,189,181
101,189,181
101,189,181
101,189,181
101,189,181
101,189,181
101,189,181
101,189,181
102,189,181
102,189,181
102,189,181
102,189,181
101,188,181
100,188,180
100,188,180
100,188,180
100,188,180
100,188,180
100,188,181
100,188,181
100,188,181
101,189,181
101,189,181
101,189,181
101,189,181
101,189,181
101,189,181
100,188,181
100,188,181
100,188,180
100,188,180
99,188,180
99,188,180
99,188,180
99,188,180
99,187,180
98,187,180
98,187,180
97,187,179
97,187,179
97,187,179
97,187,179
96,186,179
96,186,179
95,186,179
97,187,179
98,187,180
98,187,181
98,187,181
98,187,181
98,187,181
98,187,181
98,187,181
98,187,180
98,187,180
98,187,180
98,187,180
97,187,179
97,187,179
97,187,179
97,187,179
97,187,179
97,187,179
97,187,179
97,187,179
97,187,179
97,187,179
97,187,179
98,187,180
98,187,180
98,187,180
98,187,180
98,187,180
98,187,181
98,187,181
98,187,180
98,187,180
98,187,180
98,187,180
98,187,180
98,187,180
98,187,180
97,187,179
97,187,179
97,187,179
97,187,179
98,187,180
98,187,180
98,187,180
98,187,181
98,187,181
99,188,180
98,187,181
99,188,180
99,188,180
99,188,180
99,188,180
99,187,180
99,187,180
99,187,180
99,187,180
99,187,180
99,187,180
99,187,180
99,187,180
99,188,180
99,188,180
99,188,180
99,188,180
99,188,180
99,188,180
99,188,180
99,188,180
100,188,181
100,188,181
100,188,181
100,188,181
100,188,180
100,188,180
100,188,180
99,188,180
99,188,180
99,188,180
99,188,180
100,188,180
100,188,180
100,188,181
100,188,181
100,188,181
101,189,181
101,189,181
101,189,181
101,189,181
101,189,181
101,189,181
100,188,181
100,188,181
100,188,181
100,188,181
100,188,181
101,189,181
101,189,181
101,189,181
101,189,181
101,189,181
101,189,181
101,189,181
101,189,181
101,189,181
101,188,181
102,189,181
102,189,181
102,189,181
101,188,181
101,188,181
101,188,181
101,188,181
100,188,181
100,188,181
100,188,181
101,189,181
101,189,181
101,189,181
101,189,181
101,189,181
101,189,181
101,189,181
100,188,181
100,188,181
100,188,180
100,188,180
100,188,180
100,188,180
100,188,180
99,188,180
99,187,180
99,187,180
98,187,180
98,187,180
97,187,179
97,187,179
97,187,179
96,186,179
95,186,179
95,186,179
95,186,179
97,187,179
98,187,181
98,187,181
98,187,181
98,187,181
98,187,181
98,187,181
98,187,180
98,187,180
98,187,180
98,187,180
98,187,180
97,187,179
97,187,179
97,187,179
97,187,179
97,187,179
97,187,179
97,187,179
97,187,179
97,187,179
97,187,179
98,187,180
98,187,180
98,187,180
98,187,180
98,187,180
98,187,180
98,187,180
98,187,180
98,187,181
98,187,181
98,187,180
98,187,180
98,187,180
99,187,180
99,187,180
98,187,180
97,187,179
97,187,179
97,187,179
98,187,180
98,187,180
98,187,180
99,188,180
99,188,180
99,188,180
99,188,180
99,188,180
99,188,180
99,188,180
99,188,180
99,188,180
99,187,180
99,187,180
99,187,180
99,187,180
99,187,180
99,187,180
99,188,180
99,188,180
99,188,180
99,188,180
99,188,180
99,188,180
99,188,180
99,188,180
100,188,181
100,188,181
100,188,181
100,188,181
100,188,181
100,188,180
100,188,180
100,188,180
100,188,180
99,188,180
100,188,181
100,188,180
100,188,180
100,188,180
100,188,181
100,188,181
101,189,181
101,189,181
101,189,181
101,189,181
101,189,181
101,189,181
101,189,181
101,189,181
100,188,181
100,188,181
100,188,181
100,188,181
101,189,181
101,189,181
101,189,181
101,189,181
101,189,181
101,189,181
101,189,181
101,189,181
101,189,181
101,189,181
101,189,181
101,188,181
102,189,181
101,188,181
101,188,181
101,188,181
101,189,181
101,189,181
101,189,181
101,189,181
101,189,181
101,189,181
101,189,181
101,189,181
101,189,181
101,189,181
101,189,181
101,189,181
101,189,181
100,188,181
100,188,181
100,188,180
100,188,180
100,188,180
100,188,180
99,188,180
99,187,180
99,187,180
98,187,180
98,187,180
97,187,179
97,187,179
96,187,179
96,186,179
96,186,179
95,186,179
96,186,179
96,186,179
97,187,179
98,187,180
98,187,181
98,187,181
98,187,181
98,187,181
98,187,181
98,187,181
98,187,180
98,187,180
98,187,180
98,187,180
98,187,180
97,187,179
97,187,179
97,187,179
97,187,179
97,187,179
97,187,179
97,187,179
97,187,179
97,187,179
98,187,180
98,187,180
98,187,180
98,187,180
98,187,180
98,187,180
98,187,180
98,187,180
98,187,180
98,187,181
98,187,181
98,187,180
98,187,180
99,187,180
99,187,180
99,187,180
98,187,180
97,187,179
97,187,179
97,187,179
98,187,180
98,187,180
99,187,180
99,188,180
99,188,180
99,188,180
99,188,180
99,188,180
99,188,180
99,188,180
99,188,180
99,188,180
99,188,180
99,187,180
99,187,180
99,187,180
99,188,180
99,188,180
99,188,180
99,188,180
99,188,180
99,188,180
99,188,180
99,188,180
99,188,180
100,188,181
100,188,181
100,188,181
100,188,181
100,188,181
100,188,181
100,188,180
100,188,180
100,188,180
100,188,180
100,188,181
100,188,181
100,188,181
100,188,181
100,188,181
101,189,181
101,189,181
101,189,181
101,189,181
101,189,181
101,189,181
101,189,181
101,189,181
101,189,181
101,189,181
100,188,181
100,188,181
100,188,181
101,189,181
101,189,181
101,189,181
101,189,181
101,189,181
101,189,181
101,189,181
101,189,181
101,189,181
101,189,181
101,189,181
101,189,181
101,189,181
101,189,181
101,189,181
101,189,181
101,189,181
101,189,181
101,189,181
101,189,181
101,189,181
101,189,181
101,189,181
101,189,181
101,189,181
101,189,181
101,189,181
101,189,181
101,189,181
101,189,181
101,189,181
100,188,181
100,188,180
100,188,180
100,188,180
100,188,180
99,188,180
99,187,180
99,187,180
99,187,180
98,187,180
98,187,180
97,187,179
96,187,179
96,186,179
96,186,179
96,186,179
96,186,179
96,186,179
96,186,179
97,187,179
97,187,179
98,187,180
98,187,181
98,187,181
98,187,181
98,187,181
98,187,181
98,187,180
98,187,180
98,187,180
98,187,180
98,187,180
97,187,179
97,187,179
97,187,179
97,187,179
97,187,179
97,187,179
97,187,179
97,187,179
97,187,179
97,187,179
98,187,180
98,187,180
98,187,180
98,187,180
98,187,180
98,187,180
98,187,180
98,187,180
98,187,180
98,187,180
98,187,180
99,187,180
99,187,180
99,187,180
99,187,180
98,187,180
97,187,179
97,187,179
97,187,179
97,187,179
98,187,180
98,187,180
99,187,180
99,187,180
99,188,180
99,188,180
99,188,180
99,188,180
99,188,180
99,188,180
99,188,180
99,188,180
99,188,180
99,188,180
99,188,180
99,188,180
99,188,180
99,188,180
99,188,180
99,188,180
99,188,180
99,188,180
99,188,180
100,188,181
100,188,181
100,188,181
100,188,181
100,188,181
100,188,181
100,188,181
100,188,180
100,188,180
100,188,180
100,188,180
100,188,181
100,188,181
100,188,181
100,188,181
100,188,181
101,189,181
101,189,181
101,189,181
101,189,181
101,189,181
101,189,181
101,189,181
101,189,181
101,189,181
101,189,181
101,189,181
100,188,181
100,188,181
101,189,181
101,189,181
101,189,181
101,189,181
101,189,181
101,189,181
101,189,181
101,189,181
101,189,181
101,189,181
101,189,181
101,189,181
101,189,181
101,189,181
101,189,181
101,189,181
101,189,181
101,189,181
101,189,181
101,189,181
101,189,181
101,189,181
101,189,181
101,189,181
101,189,181
101,189,181
101,189,181
101,189,181
101,189,181
101,189,181
101,189,181
101,189,181
101,189,181
100,188,180
100,188,180
100,188,180
100,188,180
99,188,180
99,188,180
99,187,180
99,187,180
98,187,180
98,187,179
97,187,179
97,187,179
96,187,179
96,186,179
96,186,179
96,186,179
96,186,179
96,186,179
96,186,179
97,187,179
97,187,179
98,187,180
98,187,180
98,187,181
99,187,180
99,187,180
99,187,180
98,187,180
98,187,180
98,187,180
98,187,180
98,187,180
98,187,180
97,187,179
97,187,179
97,187,179
97,187,179
97,187,179
97,187,179
97,187,179
97,187,179
97,187,179
97,187,179
98,187,180
98,187,180
98,187,180
98,187,180
98,187,180
98,187,180
98,187,180
98,187,180
98,187,180
98,187,180
99,187,180
99,187,180
99,187,180
99,187,180
99,187,180
98,187,180
97,187,179
97,187,179
97,187,179
97,187,179
98,187,180
98,187,180
99,187,180
99,187,180
99,187,180
99,188,180
99,188,180
99,188,180
99,188,180
99,188,180
99,188,180
99,188,180
99,188,180
99,188,180
99,188,180
99,188,180
99,188,180
99,188,180
99,188,180
99,188,180
99,188,180
100,188,181
100,188,181
101,189,181
101,189,181
101,189,181
101,189,181
100,188,181
100,188,181
100,188,181
100,188,180
100,188,180
100,188,180
100,188,181
100,188,181
100,188,181
100,188,181
100,188,181
101,189,181
101,189,181
101,189,181
101,189,181
101,189,181
101,189,181
101,189,181
101,189,181
101,189,181
101,189,181
101,189,181
101,189,181
101,189,181
101,189,181
101,189,181
101,189,181
101,189,181
101,189,181
101,189,181
102,189,181
102,189,181
101,189,181
101,189,181
101,189,181
101,189,181
101,189,181
101,189,181
101,189,181
101,189,181
101,189,181
101,189,181
101,189,181
101,189,181
101,189,181
101,189,181
101,189,181
101,189,181
101,189,181
101,189,181
101,189,181
101,189,181
101,189,181
101,189,181
101,189,181
101,189,181
101,189,181
101,188,181
101,188,181
101,188,181
100,188,180
100,188,180
100,188,180
99,188,180
99,188,180
99,187,180
99,187,180
98,187,180
97,187,179
97,187,179
97,187,179
96,187,179
96,187,179
96,186,179
96,186,179
96,186,179
96,186,179
96,186,179
97,187,179
97,187,179
97,187,179
98,187,180
98,187,180
99,187,180
99,187,180
99,187,180
99,187,180
99,187,180
99,187,180
98,187,180
98,187,180
98,187,180
98,187,180
97,187,179
97,187,179
97,187,179
97,187,179
97,187,179
97,187,179
97,187,179
97,187,179
97,187,179
97,187,179
97,187,179
98,187,180
98,187,180
98,187,180
98,187,180
98,187,180
98,187,180
98,187,180
98,187,180
99,187,180
99,187,180
99,187,180
99,187,180
99,187,180
98,187,180
98,187,180
97,187,179
97,187,179
97,187,179
97,187,179
98,187,180
98,187,180
99,187,180
99,187,180
99,187,180
99,188,180
99,188,180
99,188,180
99,188,180
99,188,180
99,188,180
99,188,180
99,188,180
100,188,181
100,188,181
100,188,181
100,188,181
100,188,181
100,188,181
100,188,181
100,188,181
101,189,181
101,189,181
101,189,181
101,189,181
101,189,181
101,189,181
101,189,181
100,188,181
100,188,181
100,188,180
100,188,180
100,188,180
100,188,180
100,188,181
100,188,181
100,188,181
100,188,181
101,189,181
101,189,181
101,189,181
101,189,181
101,189,181
101,189,181
100,188,181
100,188,181
101,189,181
101,189,181
101,189,181
101,189,181
101,189,181
101,189,181
101,189,181
101,189,181
101,189,181
101,189,181
102,189,181
102,189,181
102,189,181
102,189,181
102,189,181
102,189,181
101,189,181
101,189,181
101,189,181
101,189,181
101,189,181
101,189,181
100,188,181
101,189,181
101,189,181
101,189,181
101,189,181
101,189,181
101,189,181
101,189,181
101,189,181
101,189,181
101,189,181
101,189,181
102,189,181
102,189,181
101,189,181
101,189,181
101,188,181
101,188,181
101,188,181
101,188,181
100,188,180
100,188,180
100,188,180
99,188,180
99,188,180
99,188,180
99,187,180
98,187,180
97,187,179
97,187,179
97,187,179
97,187,179
97,187,179
97,187,179
97,187,179
97,187,179
97,187,179
96,186,179
97,187,179
97,187,179
97,187,179
98,187,180
98,187,180
99,187,180
99,187,180
99,187,180
99,187,180
99,187,180
99,187,180
98,187,180
98,187,180
98,187,180
97,187,179
97,187,179
97,187,179
97,187,179
97,187,179
97,187,179
97,187,179
97,187,179
97,187,179
97,187,179
97,187,179
97,187,179
97,187,179
98,187,180
98,187,180
98,187,180
98,187,180
98,187,180
98,187,179
99,187,180
99,187,180
99,187,180
99,187,180
99,187,180
99,187,180
98,187,180
98,187,180
97,187,179
97,187,179
97,187,179
97,187,179
98,187,180
98,187,180
99,187,180
99,187,180
99,187,180
99,187,180
99,188,180
99,188,180
99,188,180
99,188,180
99,188,180
99,188,180
100,188,181
100,188,181
100,188,181
100,188,181
101,189,181
101,189,181
101,189,181
101,189,181
101,189,181
101,189,181
101,189,181
101,189,181
101,189,181
101,189,181
101,189,181
101,189,181
101,189,181
100,188,181
100,188,180
100,188,180
100,188,180
100,188,180
100,188,181
100,188,181
101,189,181
101,189,181
101,189,181
101,189,181
101,189,181
101,189,181
101,189,181
101,189,181
100,188,181
100,188,181
100,188,181
101,189,181
101,189,181
101,189,181
101,189,181
101,189,181
101,189,181
101,189,181
102,189,181
102,189,181
102,189,181
102,189,181
102,189,181
102,189,181
102,189,181
102,189,181
101,189,181
101,189,181
101,189,181
101,189,181
101,189,181
101,189,181
101,189,181
101,189,181
101,189,181
101,189,181
101,189,181
101,189,181
101,189,181
101,189,181
101,189,181
101,189,181
102,189,181
102,189,181
102,189,181
102,189,181
102,189,181
102,189,181
102,189,181
102,189,181
102,189,181
102,189,181
101,188,181
101,189,181
101,189,181
100,188,180
100,188,180
100,188,180
99,188,180
99,188,180
98,187,180
98,187,180
97,187,179
97,187,179
97,187,179
97,187,179
97,187,179
97,187,179
97,187,179
97,187,179
97,187,179
97,187,179
97,187,179
97,187,179
98,187,180
98,187,180
98,187,180
98,187,180
99,187,180
99,187,180
99,187,180
99,187,180
98,187,180
98,187,180
98,187,180
97,187,179
97,187,179
97,187,179
97,187,179
97,187,179
97,187,179
97,187,179
97,187,179
97,187,179
97,187,179
97,187,179
97,187,179
97,187,179
97,187,179
98,187,180
98,187,180
98,187,180
98,187,180
99,187,180
99,187,180
99,187,180
99,187,180
99,187,180
99,187,180
99,187,180
99,187,180
98,187,180
97,187,179
97,187,179
97,187,179
97,187,179
98,187,180
98,187,180
99,187,180
99,187,180
99,187,180
99,187,180
99,188,180
99,188,180
99,188,180
99,188,180
99,188,180
100,188,181
100,188,181
100,188,181
101,189,181
101,189,181
101,189,181
101,189,181
101,189,181
101,189,181
101,189,181
101,189,181
101,189,181
101,189,181
101,189,181
101,189,181
101,189,181
101,189,181
101,189,181
100,188,181
100,188,181
100,188,180
100,188,180
100,188,181
100,188,181
101,189,181
101,189,181
101,189,181
101,189,181
101,189,181
101,189,181
101,189,181
101,189,181
101,189,181
100,188,181
100,188,181
101,189,181
101,189,181
101,189,181
101,189,181
101,189,181
101,189,181
101,189,181
101,189,181
102,189,181
102,189,181
102,189,181
102,189,181
102,189,181
102,189,181
102,189,181
102,189,181
102,189,181
101,189,181
101,189,181
101,189,181
101,189,181
101,189,181
101,189,181
101,189,181
101,189,181
101,189,181
101,189,181
101,189,181
101,189,181
101,189,181
101,189,181
101,189,181
102,189,181
102,189,181
103,189,181
103,189,181
103,189,181
102,189,181
102,189,181
102,189,181
102,189,181
102,189,181
102,189,181
102,189,181
101,189,181
101,189,181
100,188,181
100,188,180
100,188,180
99,188,180
99,188,180
99,188,180
98,187,180
98,187,180
98,187,180
98,187,180
97,187,179
97,187,179
97,187,179
97,187,179
97,187,179
98,187,180
97,187,179
98,187,180
98,187,180
97,187,179
98,187,181
98,187,181
98,187,180
98,187,180
98,187,180
98,187,180
99,187,180
98,187,180
98,187,180
98,187,180
97,187,179
97,187,179
97,187,179
97,187,179
97,187,179
97,187,179
98,187,180
98,187,180
98,187,180
97,187,179
97,187,179
97,187,179
97,187,179
97,187,179
97,187,179
98,187,180
98,187,180
98,187,180
99,187,180
99,187,180
99,187,180
99,187,180
99,187,180
99,187,180
99,187,180
99,187,180
99,187,180
98,187,180
98,187,180
98,187,180
97,187,179
97,187,179
98,187,180
98,187,180
99,187,180
99,187,180
99,187,180
99,187,180
99,188,180
99,188,180
99,188,180
99,188,180
100,188,181
100,188,181
100,188,181
101,189,181
101,189,181
101,189,181
101,189,181
101,189,181
101,189,181
101,189,181
101,189,181
101,189,181
101,189,181
101,189,181
101,189,181
101,189,181
101,189,181
101,189,181
101,189,181
101,189,181
100,188,181
100,188,180
100,188,180
100,188,181
101,189,181
101,189,181
101,189,181
101,189,181
